t_seconds,strip,ink,occluded
480.0,5,0.15703,1
480.0,6,0.1251,0
480.0,7,0.10607,1
485.0,0,0.13617,0
485.0,1,0.14247,1
485.0,2,0.15617,1
485.0,3,0.15599,1
485.0,4,0.19299,1
485.0,5,0.14479,1
485.0,6,0.1787,1
485.0,7,0.17422,1
490.0,0,0.18146,1
490.0,1,0.08422,1
490.0,2,0.18036,1
490.0,3,0.12297,0
490.0,4,0.15044,1
490.0,5,0.16005,1
490.0,6,0.12122,0
490.0,7,0.10461,1
495.0,0,0.23362,1
495.0,1,0.14862,0
495.0,2,0.17474,1
495.0,3,0.09576,1
495.0,4,0.13464,1
495.0,5,0.18792,1
495.0,6,0.12362,0
495.0,7,0.1132,1
500.0,0,0.17333,0
500.0,1,0.14833,1
500.0,2,0.13294,0
500.0,3,0.15948,1
500.0,4,0.15893,1
500.0,5,0.07589,1
500.0,6,0.12904,1
500.0,7,0.07948,1
505.0,0,0.17724,0
505.0,1,0.17721,1
505.0,2,0.18839,1
505.0,3,0.14034,1
505.0,4,0.13753,1
505.0,5,0.06646,1
505.0,6,0.1069,1
505.0,7,0.10742,1
510.0,0,0.12831,0
510.0,1,0.11456,1
510.0,2,0.12625,1
510.0,3,0.09146,1
510.0,4,0.08503,0
510.0,5,0.08167,0
510.0,6,0.07365,0
510.0,7,0.08443,1
515.0,0,0.10708,1
515.0,1,0.14096,1
515.0,2,0.13151,0
515.0,3,0.14672,1
515.0,4,0.16109,0
515.0,5,0.13042,1
515.0,6,0.10664,0
515.0,7,0.10096,1
520.0,0,0.15385,1
520.0,1,0.1001,1
520.0,2,0.14508,1
520.0,3,0.15135,0
520.0,4,0.16107,0
520.0,5,0.13164,1
520.0,6,0.10562,0
520.0,7,0.10258,1
525.0,0,0.14305,0
525.0,1,0.15211,1
525.0,2,0.08344,1
525.0,3,0.19107,1
525.0,4,0.16172,0
525.0,5,0.13482,1
525.0,6,0.10711,0
525.0,7,0.10396,1
530.0,0,0.14052,0
530.0,1,0.14625,0
530.0,2,0.15289,1
530.0,3,0.09732,1
530.0,4,0.11727,1
530.0,5,0.15172,1
530.0,6,0.1274,0
530.0,7,0.10271,1
535.0,0,0.11253,1
535.0,1,0.15227,1
535.0,2,0.15365,0
535.0,3,0.16766,1
535.0,4,0.16812,0
535.0,5,0.14654,1
535.0,6,0.12622,0
535.0,7,0.10375,1
540.0,0,0.24677,1
540.0,1,0.14339,0
540.0,2,0.13888,0
540.0,3,0.16177,1
540.0,4,0.14227,1
540.0,5,0.08154,1
540.0,6,0.11065,1
540.0,7,0.13448,1
545.0,0,0.14169,1
545.0,1,0.14263,1
545.0,2,0.15143,1
545.0,3,0.16453,1
545.0,4,0.1618,1
545.0,5,0.14768,1
545.0,6,0.12328,0
545.0,7,0.11305,1
550.0,0,0.19276,1
550.0,1,0.04807,1
550.0,2,0.0988,1
550.0,3,0.06195,0
550.0,4,0.07073,0
550.0,5,0.05773,0
550.0,6,0.07039,0
550.0,7,0.07026,1
555.0,0,0.13617,0
555.0,1,0.14122,1
555.0,2,0.16292,1
555.0,3,0.15815,1
555.0,4,0.17138,1
555.0,5,0.1575,1
555.0,6,0.18099,1
555.0,7,0.19474,1
560.0,0,0.08154,1
560.0,1,0.08125,1
560.0,2,0.10888,1
560.0,3,0.09964,1
560.0,4,0.0926,1
560.0,5,0.1132,1
560.0,6,0.09914,1
560.0,7,0.10737,1
565.0,0,0.12607,1
565.0,1,0.08086,1
565.0,2,0.1412,1
565.0,3,0.12661,1
565.0,4,0.09982,1
565.0,5,0.13021,1
565.0,6,0.11615,1
565.0,7,0.1182,1
570.0,0,0.13823,1
570.0,1,0.12076,1
570.0,2,0.14641,1
570.0,3,0.13768,1
570.0,4,0.14372,1
570.0,5,0.1469,1
570.0,6,0.11333,1
570.0,7,0.14167,1
575.0,0,0.1343,1
575.0,1,0.07661,1
575.0,2,0.12638,1
575.0,3,0.10141,1
575.0,4,0.11766,1
575.0,5,0.13198,1
575.0,6,0.11474,1
575.0,7,0.1431,1
580.0,0,0.13922,1
580.0,1,0.12091,1
580.0,2,0.13602,1
580.0,3,0.10372,1
580.0,4,0.12029,1
580.0,5,0.13107,1
580.0,6,0.1126,1
580.0,7,0.1424,1
585.0,0,0.16419,0
585.0,1,0.12604,0
585.0,2,0.09221,0
585.0,3,0.08484,0
